Opportunity ID,Opportunity Name,Account Name,Owner,Stage,Amount,Close Date,Created Date,Probability (%),Forecast Category,Type,Days in Stage,Last Activity
OPP-0001,DataDrive Ltd - Cloud Migration,DataDrive Ltd,James Wilson,Negotiation,188965.87,2024-07-10,2024-03-16,63,Best Case,Renewal,118,2025-11-25
OPP-0002,Acme Corp - Digital Transformation,Acme Corp,James Wilson,Prospecting,356672.38,2024-06-03,2024-02-17,26,Pipeline,New Business,23,2025-11-24
OPP-0003,Acme Corp - Managed Services,Acme Corp,Michael Brown,Negotiation,400606.86,2024-05-31,2024-03-27,78,Best Case,New Business,118,2025-12-19
OPP-0004,DataDrive Ltd - Cloud Migration,DataDrive Ltd,Emma Thompson,Qualification,297915.04,2024-05-31,2024-04-20,13,Pipeline,Expansion,58,2025-12-23
OPP-0005,TechFlow Inc - Digital Transformation,TechFlow Inc,David Kim,Negotiation,446623.03,2024-07-28,2024-04-21,74,Best Case,New Business,95,2025-12-05
OPP-0006,Acme Corp - Managed Services,Acme Corp,Lisa Garcia,Commit,343214.22,2025-03-12,2024-11-12,88,Commit,New Business,33,2025-12-27
OPP-0007,DataDrive Ltd - Cloud Migration,DataDrive Ltd,Sarah Chen,Qualification,229764.4,2024-04-15,2024-02-10,22,Pipeline,Expansion,24,2025-11-19
OPP-0008,TechFlow Inc - Digital Transformation,TechFlow Inc,David Kim,Proposal,206928.93,2024-05-21,2024-04-12,50,Pipeline,Renewal,124,2025-11-19
OPP-0009,Acme Corp - Managed Services,Acme Corp,Emma Thompson,Qualification,336948.96,2024-12-20,2024-08-24,30,Pipeline,Renewal,34,2025-12-15
OPP-0010,DataDrive Ltd - Cloud Migration,DataDrive Ltd,Sarah Chen,Negotiation,263498.96,2024-05-24,2024-03-04,70,Best Case,Expansion,119,2025-12-25
OPP-0011,Acme Corp - Digital Transformation,Acme Corp,David Kim,Proposal,469597.64,2024-08-29,2024-06-10,45,Pipeline,Renewal,23,2025-11-30
OPP-0012,Acme Corp - Managed Services,Acme Corp,Emma Thompson,Qualification,242708.06,2025-01-06,2024-10-14,28,Pipeline,Renewal,44,2025-12-04
OPP-0013,TechFlow Inc - Cloud Migration,TechFlow Inc,Sarah Chen,Closed Lost,226762.27,2024-10-31,2024-09-17,11,Pipeline,New Business,41,2025-11-19
OPP-0014,Acme Corp - Digital Transformation,Acme Corp,Michael Brown,Proposal,427227.78,2024-05-01,2024-02-02,49,Pipeline,Renewal,34,2025-12-13
OPP-0015,DataDrive Ltd - Managed Services,DataDrive Ltd,Lisa Garcia,Prospecting,451272.9,2024-06-19,2024-02-28,18,Pipeline,Expansion,53,2025-12-22
OPP-0016,TechFlow Inc - Cloud Migration,TechFlow Inc,James Wilson,Proposal,302167.84,2024-06-26,2024-05-14,46,Pipeline,Renewal,42,2025-12-10
OPP-0017,DataDrive Ltd - Digital Transformation,DataDrive Ltd,James Wilson,Qualification,327682.01,2024-10-15,2024-07-10,27,Pipeline,New Business,58,2025-11-21
OPP-0018,TechFlow Inc - Managed Services,TechFlow Inc,James Wilson,Prospecting,321012.0,2024-09-02,2024-07-04,11,Pipeline,Renewal,29,2025-12-24
OPP-0019,Acme Corp - Cloud Migration,Acme Corp,James Wilson,Commit,406167.66,2025-01-21,2024-09-29,87,Commit,Expansion,59,2025-11-24
OPP-0020,Acme Corp - Digital Transformation,Acme Corp,Lisa Garcia,Commit,242769.82,2024-10-12,2024-08-04,88,Commit,Expansion,23,2025-11-17
OPP-0021,DigitalEdge - Managed Services,DigitalEdge,James Wilson,Proposal,132572.01,2024-05-14,2024-03-02,32,Pipeline,New Business,25,2025-11-22
OPP-0022,CloudFirst - Cloud Migration,CloudFirst,Sarah Chen,Prospecting,150612.81,2025-02-04,2024-12-28,17,Pipeline,New Business,50,2025-12-08
OPP-0023,TechFlow Inc - Digital Transformation,TechFlow Inc,Lisa Garcia,Qualification,141698.73,2024-12-17,2024-09-05,14,Pipeline,Renewal,23,2025-11-29
OPP-0024,CloudFirst - Managed Services,CloudFirst,Sarah Chen,Commit,174154.33,2024-07-01,2024-04-07,95,Commit,Expansion,16,2025-12-02
OPP-0025,FutureTech - Cloud Migration,FutureTech,David Kim,Negotiation,136042.96,2025-01-16,2024-12-10,63,Best Case,Expansion,51,2025-12-08
OPP-0026,TechFlow Inc - Digital Transformation,TechFlow Inc,Michael Brown,Qualification,109838.76,2024-10-21,2024-08-17,15,Pipeline,Expansion,18,2025-12-14
OPP-0027,TechFlow Inc - Managed Services,TechFlow Inc,Sarah Chen,Commit,133175.69,2025-01-15,2024-10-08,95,Commit,New Business,16,2025-12-24
OPP-0028,CloudFirst - Cloud Migration,CloudFirst,Sarah Chen,Proposal,99957.33,2024-07-06,2024-04-19,35,Pipeline,New Business,35,2025-12-05
OPP-0029,InnovateCo - Digital Transformation,InnovateCo,David Kim,Negotiation,191182.17,2024-09-17,2024-05-26,77,Best Case,Renewal,37,2025-11-28
OPP-0030,DataDrive Ltd - Managed Services,DataDrive Ltd,David Kim,Qualification,102787.74,2024-03-07,2024-01-30,27,Pipeline,Renewal,47,2025-12-09
OPP-0031,Acme Corp - Cloud Migration,Acme Corp,Sarah Chen,Proposal,86017.08,2024-11-07,2024-09-28,46,Pipeline,New Business,20,2025-12-25
OPP-0032,TechFlow Inc - Digital Transformation,TechFlow Inc,James Wilson,Qualification,161025.51,2024-06-16,2024-03-02,28,Pipeline,New Business,46,2025-11-20
